      0.3590885901E-01     -0.5132232168E+00      0.8575036347E+00
      0.7247971247E-01     -0.4996762167E+00      0.8631745882E+00
      0.1095562452E+00     -0.4851031897E+00      0.8675668992E+00
      0.1469664654E+00     -0.4695328906E+00      0.8705973367E+00
      0.1845260526E+00     -0.4530101987E+00      0.8721994587E+00
      0.2220424654E+00     -0.4355959218E+00      0.8723263933E+00
      0.2593196221E+00     -0.4173659133E+00      0.8709529425E+00
      0.2961629036E+00     -0.3984095149E+00      0.8680768359E+00
      0.3323841885E+00     -0.3788273919E+00      0.8637190274E+00
      0.3678066208E+00     -0.3587288824E+00      0.8579230028E+00
      0.4022688294E+00     -0.3382290210E+00      0.8507531477E+00
      0.4356283741E+00     -0.3174454219E+00      0.8422923030E+00
      0.4677642582E+00     -0.2964952070E+00      0.8326386917E+00
      0.8789685737E-01     -0.4445411297E+00      0.8914355425E+00
      0.1254329331E+00     -0.4286590766E+00      0.8947167011E+00
      0.1631625023E+00     -0.4118765774E+00      0.8965130690E+00
      0.2008906321E+00     -0.3942578266E+00      0.8967740630E+00
      0.2384180317E+00     -0.3758815028E+00      0.8954719080E+00
      0.2755461862E+00     -0.3568391060E+00      0.8926030202E+00
      0.3120825585E+00     -0.3372327059E+00      0.8881883690E+00
      0.3478455453E+00     -0.3171722280E+00      0.8822727778E+00
      0.3826688920E+00     -0.2967724440E+00      0.8749232169E+00
      0.4164053238E+00     -0.2761498550E+00      0.8662262199E+00
      0.4489292216E+00     -0.2554196532E+00      0.8562846225E+00
      0.1411117412E+00     -0.3691476862E+00      0.9185953746E+00
      0.1789421258E+00     -0.3513581413E+00      0.9189815951E+00
      0.2166132960E+00     -0.3328776107E+00      0.9177533309E+00
      0.2539244942E+00     -0.3137991553E+00      0.9149057008E+00
      0.2906803019E+00     -0.2942254508E+00      0.9104594149E+00
      0.3266957206E+00     -0.2742660462E+00      0.9044600831E+00
      0.3618007303E+00     -0.2540343654E+00      0.8969764617E+00
      0.3958440697E+00     -0.2336446384E+00      0.8880977736E+00
      0.4286960590E+00     -0.2132089479E+00      0.8779303125E+00
      0.1940709185E+00     -0.2886872859E+00      0.9375479345E+00
      0.2314586912E+00     -0.2696235031E+00      0.9347352785E+00
      0.2683328775E+00     -0.2501386931E+00      0.9302838820E+00
      0.3045065727E+00     -0.2303410788E+00      0.9242395439E+00
      0.3398072549E+00     -0.2103417003E+00      0.9166719144E+00
      0.3740806717E+00     -0.1902514425E+00      0.9076717687E+00
      0.4071937832E+00     -0.1701782107E+00      0.8973475355E+00
      0.2452224405E+00     -0.2053386739E+00      0.9474713630E+00
      0.2814563279E+00     -0.1857595128E+00      0.9414221895E+00
      0.3168619257E+00     -0.1660508914E+00      0.9338231211E+00
      0.3512831035E+00     -0.1463194103E+00      0.9247652737E+00
      0.3845842907E+00     -0.1266678951E+00      0.9143577897E+00
      0.2931620192E+00     -0.1215335670E+00      0.9483067133E+00
      0.3276448786E+00     -0.1022113021E+00      0.9392559200E+00
      0.3610563744E+00     -0.8303050251E-01      0.9288402609E+00
      0.3368179433E+00     -0.3961646858E-01      0.9407359930E+00
