      0.4326777610E+00      0.6114148085E-02
      0.4697428139E+00      0.1572209508E-01
      0.2760968230E+00      0.8734497265E-03
      0.3131618759E+00      0.1048139672E-01
      0.3502269289E+00      0.2008934371E-01
      0.3872919818E+00      0.2969729070E-01
      0.4243570348E+00      0.3930523769E-01
      0.4614220877E+00      0.4891318468E-01
      0.4984871407E+00      0.5852113167E-01
      0.1565809380E+00      0.5240698359E-02
      0.1936459909E+00      0.1484864535E-01
      0.2307110439E+00      0.2445659234E-01
      0.2677760968E+00      0.3406453933E-01
      0.3048411498E+00      0.4367248632E-01
      0.3419062027E+00      0.5328043331E-01
      0.3789712557E+00      0.6288838031E-01
      0.4160363086E+00      0.7249632730E-01
      0.4531013616E+00      0.8210427429E-01
      0.4901664145E+00      0.9171222128E-01
      0.3706505295E-01      0.9607946991E-02
      0.7413010590E-01      0.1921589398E-01
      0.1111951589E+00      0.2882384097E-01
      0.1482602118E+00      0.3843178796E-01
      0.1853252648E+00      0.4803973496E-01
      0.2223903177E+00      0.5764768195E-01
      0.2594553707E+00      0.6725562894E-01
      0.2965204236E+00      0.7686357593E-01
      0.3335854766E+00      0.8647152292E-01
      0.3706505295E+00      0.9607946991E-01
      0.4077155825E+00      0.1056874169E+00
      0.4447806354E+00      0.1152953639E+00
      0.4818456884E+00      0.1249033109E+00
      0.1399394856E+00      0.7162287757E-01
      0.1770045386E+00      0.8123082456E-01
      0.2140695915E+00      0.9083877155E-01
      0.2511346445E+00      0.1004467185E+00
      0.2881996974E+00      0.1100546655E+00
      0.3252647504E+00      0.1196626125E+00
      0.3623298033E+00      0.1292705595E+00
      0.3993948563E+00      0.1388785065E+00
      0.4364599092E+00      0.1484864535E+00
      0.4735249622E+00      0.1580944005E+00
      0.2428139183E+00      0.1336378081E+00
      0.2798789713E+00      0.1432457551E+00
      0.3169440242E+00      0.1528537021E+00
      0.3540090772E+00      0.1624616491E+00
      0.3910741301E+00      0.1720695961E+00
      0.4281391831E+00      0.1816775431E+00
      0.4652042360E+00      0.1912854901E+00
      0.3456883510E+00      0.1956527387E+00
      0.3827534039E+00      0.2052606857E+00
      0.4198184569E+00      0.2148686327E+00
      0.4568835098E+00      0.2244765797E+00
      0.4939485628E+00      0.2340845267E+00
      0.4485627837E+00      0.2576676693E+00
      0.4856278366E+00      0.2672756163E+00
