      0.3075750546E+00      0.1495730831E+00      0.9396943538E+00
      0.4045472780E+00      0.5758467081E-01      0.9127023094E+00
      0.1007348730E+00      0.4638165533E+00      0.8801855999E+00
      0.2096613477E+00      0.3878638155E+00      0.8975543326E+00
      0.3213682846E+00      0.2994601591E+00      0.8983574115E+00
      0.4288718884E+00      0.2027560393E+00      0.8803174949E+00
      0.5254951536E+00      0.1036951230E+00      0.8444537673E+00
      0.6067953333E+00      0.8315135980E-02      0.7948146212E+00
      0.5520772005E+00      0.2564164613E+00      0.7933860114E+00
      0.6434353007E+00      0.1509831150E+00      0.7504632655E+00
      0.7156409494E+00      0.5074849705E-01      0.6966222948E+00
